Date,Open,High,Low,Close,Volume,Company
2024-01-01,150.25,152.30,149.80,151.50,1000000,Apple
2024-01-02,151.50,153.20,150.90,152.80,1200000,Apple
2024-01-03,152.80,154.10,152.00,153.50,1100000,Apple
2024-01-04,153.50,155.00,152.50,154.20,1300000,Apple
2024-01-05,154.20,156.50,153.80,155.90,1400000,Apple
2024-01-08,155.90,157.20,155.00,156.40,1250000,Apple
2024-01-09,156.40,158.00,155.50,157.20,1350000,Apple
2024-01-10,157.20,159.50,156.80,158.60,1500000,Apple
2024-01-11,158.60,160.00,157.50,159.20,1450000,Apple
2024-01-12,159.20,161.50,158.80,160.40,1600000,Apple
2024-01-15,160.40,162.00,159.50,161.20,1550000,Apple
2024-01-16,161.20,163.50,160.50,162.80,1700000,Apple
2024-01-17,162.80,164.20,161.80,163.50,1650000,Apple
2024-01-18,163.50,165.00,162.50,164.20,1800000,Apple
2024-01-19,164.20,166.50,163.80,165.90,1750000,Apple
2024-01-22,165.90,167.20,165.00,166.40,1900000,Apple
2024-01-23,166.40,168.00,165.50,167.20,1850000,Apple
2024-01-24,167.20,169.50,166.80,168.60,2000000,Apple
2024-01-25,168.60,170.00,167.50,169.20,1950000,Apple
2024-01-26,169.20,171.50,168.80,170.40,2100000,Apple
2024-01-29,170.40,172.00,169.50,171.20,2050000,Apple
2024-01-30,171.20,173.50,170.50,172.80,2200000,Apple
2024-01-31,172.80,174.20,171.80,173.50,2150000,Apple
2024-02-01,173.50,175.00,172.50,174.20,2300000,Apple
2024-02-02,174.20,176.50,173.80,175.90,2250000,Apple
2024-02-05,175.90,177.20,175.00,176.40,2400000,Apple
2024-02-06,176.40,178.00,175.50,177.20,2350000,Apple
2024-02-07,177.20,179.50,176.80,178.60,2500000,Apple
2024-02-08,178.60,180.00,177.50,179.20,2450000,Apple
2024-02-09,179.20,181.50,178.80,180.40,2600000,Apple
2024-01-01,2800.00,2850.00,2780.00,2820.00,500000,Google
2024-01-02,2820.00,2870.00,2800.00,2840.00,550000,Google
2024-01-03,2840.00,2890.00,2820.00,2860.00,520000,Google
2024-01-04,2860.00,2910.00,2840.00,2880.00,580000,Google
2024-01-05,2880.00,2930.00,2860.00,2900.00,600000,Google
2024-01-08,2900.00,2950.00,2880.00,2920.00,620000,Google
2024-01-09,2920.00,2970.00,2900.00,2940.00,640000,Google
2024-01-10,2940.00,2990.00,2920.00,2960.00,660000,Google
2024-01-11,2960.00,3010.00,2940.00,2980.00,680000,Google
2024-01-12,2980.00,3030.00,2960.00,3000.00,700000,Google
2024-01-15,3000.00,3050.00,2980.00,3020.00,720000,Google
2024-01-16,3020.00,3070.00,3000.00,3040.00,740000,Google
2024-01-17,3040.00,3090.00,3020.00,3060.00,760000,Google
2024-01-18,3060.00,3110.00,3040.00,3080.00,780000,Google
2024-01-19,3080.00,3130.00,3060.00,3100.00,800000,Google
2024-01-22,3100.00,3150.00,3080.00,3120.00,820000,Google
2024-01-23,3120.00,3170.00,3100.00,3140.00,840000,Google
2024-01-24,3140.00,3190.00,3120.00,3160.00,860000,Google
2024-01-25,3160.00,3210.00,3140.00,3180.00,880000,Google
2024-01-26,3180.00,3230.00,3160.00,3200.00,900000,Google
2024-01-29,3200.00,3250.00,3180.00,3220.00,920000,Google
2024-01-30,3220.00,3270.00,3200.00,3240.00,940000,Google
2024-01-31,3240.00,3290.00,3220.00,3260.00,960000,Google
2024-02-01,3260.00,3310.00,3240.00,3280.00,980000,Google
2024-02-02,3280.00,3330.00,3260.00,3300.00,1000000,Google
2024-02-05,3300.00,3350.00,3280.00,3320.00,1020000,Google
2024-02-06,3320.00,3370.00,3300.00,3340.00,1040000,Google
2024-02-07,3340.00,3390.00,3320.00,3360.00,1060000,Google
2024-02-08,3360.00,3410.00,3340.00,3380.00,1080000,Google
2024-02-09,3380.00,3430.00,3360.00,3400.00,1100000,Google

